htl_offlineorder,IntegerType,367,6,92435827,92435827,0,0.0,0.19651701715180198,25.449252606623155,0.0,230493.0,92024767,0,1,2,3,4,5,6,7,8,9,88043001,1969440,777178,410488,263025,181744,133695,102350,80011,63835,0.95247704,0.021306025,0.008407758,0.004440789,0.0028454878,0.0019661642,0.0014463548,0.0011072546,8.655843E-4,6.905872E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
htl_numorderholiday,IntegerType,339,6,92435827,92435827,0,0.0,0.22621465808922767,54.21493435501745,0.0,406029.0,92035658,0,1,2,3,4,5,6,7,8,9,86457560,2642399,1144565,618852,390730,265213,188652,139628,105735,82324,0.93532526,0.02858631,0.012382266,0.0066949367,0.004227041,0.0028691583,0.002040897,0.0015105399,0.0011438747,8.906071E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
htl_avgstar,IntegerType,6,1,92435827,92435827,0,0.0,0.3096700265363559,0.980177539859035,0.0,5.0,92435827,0,2,3,4,5,1,N/A,N/A,N/A,N/A,83178139,3070320,2705113,2585353,782578,114324,0,0,0,0,0.8998474,0.033215694,0.029264769,0.027969167,0.008466177,0.0012367932,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
htl_starprefer,IntegerType,97,3,92435827,92435827,0,0.0,6.5834557849523,20.76274829023537,0.0,100.0,89510473,0,40,80,60,100,70,50,90,66,73,83181835,2021497,1335554,1127923,792064,292305,246376,220601,150360,141958,0.8998874,0.021869194,0.014448446,0.012202228,0.008568799,0.003162248,0.0026653735,0.0023865313,0.0016266421,0.0015357466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,95
htl_avgroomnum,IntegerType,29,2,92435827,92435827,0,0.0,0.11040979814028169,0.3855227164490839,0.0,32.0,92434310,0,1,2,3,4,5,6,7,8,9,83790482,7514693,874180,158449,61139,18622,9829,3431,2650,835,0.9064719,0.081296325,0.009457156,0.0017141515,6.6142104E-4,2.014587E-4,1.0633323E-4,3.7117643E-5,2.8668539E-5,9.033294E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
htl_cashbackprefer,IntegerType,2,1,92435827,92435827,0,0.0,0.04368582108320403,0.2043951323282683,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88397692,4038135,0,0,0,0,0,0,0,0,0.95631427,0.043685824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
htl_priceprefer,IntegerType,2,1,92435827,92435827,0,0.0,0.021586911317405102,0.14533037045703692,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90440423,1995404,0,0,0,0,0,0,0,0,0.9784131,0.021586912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
htl_monetary,IntegerType,2,1,92435827,92435827,0,0.0,0.17846021975873055,0.5701511987895199,0.0,2.0,92435827,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84187768,8248059,0,0,0,0,0,0,0,0,0.91076994,0.08923011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
htl_lastorderdate,StringType,31268522,19,92435827,92435827,0,0.0,N/A,N/A,N/A,N/A,49101320,unknow,2015-05-26 13:01:26,2015-05-26 13:01:16,2015-05-26 13:00:34,2015-05-26 13:01:15,2015-05-26 13:00:29,2015-05-26 13:01:13,2015-05-26 13:00:59,2015-05-26 13:01:27,2015-05-26 13:01:25,49101075,36,29,28,27,26,25,25,25,24,0.531191,3.894594E-7,3.137312E-7,3.0291287E-7,2.9209454E-7,2.8127624E-7,2.7045792E-7,2.7045792E-7,2.7045792E-7,2.596396E-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
flt_isfltuser,IntegerType,2,1,92435827,92435827,0,0.0,0.3350680899950189,0.47201426362145965,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61463531,30972296,0,0,0,0,0,0,0,0,0.66493195,0.3350681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
